Estimate summary,,,,,,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,,,,,,
467.78,29.9,826.58,USD,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Detailed Estimate,,,,,,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary,,,,,
,,,,,,,,,,,,,,
My Estimate,EU (Frankfurt),Webserver,Amazon EC2 ,191.844,7.229,278.59,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t2.small), Pricing strategy ( 3yr  Partial Upfront), Enable monitoring (disabled), EBS Storage amount (20 GB), DT Inbound: Not selected (0 tb_month), DT Outbound: Not selected (0 tb_month), DT Intra-Region: (0 tb_month)",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
My Estimate,EU (Frankfurt),DB Server,Amazon EC2 ,275.94,22.665,547.92,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t4g.medium), Pricing strategy (Compute Savings Plans 3yr  Partial Upfront), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 tb_month), DT Outbound: Not selected (0 tb_month), DT Intra-Region: (0 tb_month)",,,,,
,,,,,,,,,,,,,,
